peek_right|None|None|-480
size|None|None|6
empty|None|None|0
peek_right|None|None|-480
size|None|None|6
empty|None|None|0
peek_right|None|None|-480
size|None|None|6
empty|None|None|0
peek_left|None|None|8782
size|None|None|6
empty|None|None|0
peek_right|None|None|-480
size|None|None|6
empty|None|None|0
set|1|5937|5937
size|None|None|6
empty|None|None|0
get|2|None|6299
size|None|None|6
empty|None|None|0
peek_right|None|None|-480
size|None|None|6
empty|None|None|0
peek_left|None|None|8782
size|None|None|6
empty|None|None|0
peek_left|None|None|8782
size|None|None|6
empty|None|None|0
peek_left|None|None|8782
size|None|None|6
empty|None|None|0
get|1|None|5937
size|None|None|6
empty|None|None|0
set|1|-9873|-9873
size|None|None|6
empty|None|None|0
peek_right|None|None|-480
reverse|None|None|-480,670,2624,6299,-9873,8782
size|None|None|6
empty|None|None|0
set|5|6394|6394
size|None|None|6
empty|None|None|0
peek_left|None|None|-480
size|None|None|6
empty|None|None|0
peek_left|None|None|-480
size|None|None|6
empty|None|None|0
get|3|None|6299
reverse|None|None|6394,-9873,6299,2624,670,-480
size|None|None|6
empty|None|None|0
get|2|None|6299
size|None|None|6
empty|None|None|0
peek_right|None|None|-480
size|None|None|6
empty|None|None|0
peek_right|None|None|-480
size|None|None|6
empty|None|None|0
get|1|None|-9873
size|None|None|6
empty|None|None|0
get|5|None|-480
reverse|None|None|-480,670,2624,6299,-9873,6394
size|None|None|6
empty|None|None|0
get|5|None|6394
size|None|None|6
empty|None|None|0
peek_left|None|None|-480
size|None|None|6
empty|None|None|0
set|0|-8369|-8369
size|None|None|6
empty|None|None|0
peek_right|None|None|6394
size|None|None|6
empty|None|None|0
peek_left|None|None|-8369
reverse|None|None|6394,-9873,6299,2624,670,-8369
size|None|None|6
empty|None|None|0
peek_left|None|None|6394
size|None|None|6
empty|None|None|0
peek_left|None|None|6394
size|None|None|6
empty|None|None|0
peek_left|None|None|6394
size|None|None|6
empty|None|None|0
peek_right|None|None|-8369
size|None|None|6
empty|None|None|0
peek_left|None|None|6394
size|None|None|6
empty|None|None|0
peek_right|None|None|-8369
size|None|None|6
empty|None|None|0
set|3|-4779|-4779
size|None|None|6
empty|None|None|0
peek_left|None|None|6394
size|None|None|6
empty|None|None|0
peek_right|None|None|-8369
size|None|None|6
empty|None|None|0
set|3|-9175|-9175
size|None|None|6
empty|None|None|0
peek_right|None|None|-8369
size|None|None|6
empty|None|None|0
peek_right|None|None|-8369
size|None|None|6
empty|None|None|0
peek_right|None|None|-8369
size|None|None|6
empty|None|None|0
peek_right|None|None|-8369
size|None|None|6
empty|None|None|0
peek_left|None|None|6394
